11400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026528	4.559179	0.008503	0.031976	1.674674	0.006493	0.026064	1.676529	0.010204	0.028096	1.671427	0.000000	0.029176	1.674828	0.005102	0.026744	1.674674	0.004870	0.030208	1.671427	0.000000	0.027528	1.674998	0.005357	0.030088	1.674674	0.006493	0.031528	1.673050	0.003247	0.028344	1.677920	0.012987	0.024912	1.671427	0.000000	0.029248	1.671427	0.000000	0.026512	1.679930	0.017007	0.026896	1.819641	0.296428	0.030224	1.673050	0.003247	0.033120	1.804544	0.266233	0.024760	1.673213	0.003571	0.032056	1.674674	0.006493	0.029248	1.671427	0.000000	0.028992	1.671427	0.000000	0.029208	1.681631	0.020408	0.029336	1.671427	0.000000	0.028800	1.674828	0.006803	0.025520	4.558924	0.007143	0.029768	1.681631	0.011905	0.026336	1.673307	0.003759	0.030072	1.679544	0.008117	0.027744	4.559411	0.008117	0.029872	1.671427	0.000000	1.848946	0.0268410.022578
12400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028464	4.561034	0.004870	0.025928	1.676529	0.008503	0.023128	1.677066	0.011278	0.027560	1.676784	0.010714	0.027144	1.674998	0.007143	0.028136	1.678570	0.010714	0.029864	1.673213	0.003571	0.025992	1.676529	0.010204	0.026864	1.676529	0.010204	0.025840	1.674998	0.007143	0.025008	1.673213	0.003571	0.028728	1.671427	0.000000	0.024256	1.671427	0.000000	0.030320	1.673128	0.003401	0.026328	1.676529	0.010204	0.027256	1.671427	0.000000	0.026832	2.084692	0.826530	0.029616	1.673050	0.003247	0.029600	1.673128	0.003401	0.026584	1.673213	0.001786	0.024688	1.671427	0.000000	0.029368	1.674674	0.006493	0.030008	1.671427	0.000000	0.026936	1.673128	0.003401	0.028808	4.584689	0.030612	0.032328	1.681167	0.016234	0.028240	1.677638	0.004658	0.024496	1.676784	0.010714	0.029416	4.560880	0.006803	0.024456	1.674998	0.007143	1.854197	0.0256940.031954
13400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.024552	4.558924	0.010714	0.023952	1.673213	0.003571	0.031864	1.676297	0.006493	0.027808	1.671427	0.000000	0.031560	1.679544	0.016234	0.028752	1.677920	0.009740	0.028336	1.673128	0.003401	0.029192	1.673128	0.003401	0.029672	1.673128	0.003401	0.026768	1.678570	0.010714	0.025744	1.674828	0.006803	0.026480	1.671427	0.000000	0.028088	1.671427	0.000000	0.027120	1.674998	0.007143	0.031320	1.927638	0.503105	0.027112	1.671427	0.000000	0.026672	1.676784	0.010714	0.027792	1.671427	0.000000	0.025864	1.678230	0.013605	0.028864	1.671427	0.000000	0.027656	1.671427	0.000000	0.027096	1.678230	0.008503	0.028640	1.673050	0.003247	0.028352	1.678570	0.012500	0.027576	4.583924	0.060714	0.029472	1.673128	0.003401	0.028792	1.673128	0.003401	0.030304	1.674674	0.006493	0.031376	4.557478	0.010204	0.026344	1.674674	0.003247	1.848849	0.0263470.022524
14400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026096	4.559179	0.006803	0.028080	1.674828	0.006803	0.027632	1.671427	0.000000	0.025480	1.673128	0.001701	0.029024	1.678230	0.013605	0.031440	1.673128	0.003401	0.026152	1.673213	0.003571	0.030216	1.676529	0.006803	0.026912	1.671427	0.000000	0.025520	1.674998	0.007143	0.026312	1.674998	0.007143	0.026128	1.671427	0.000000	0.026312	1.671427	0.000000	0.027664	1.679930	0.013605	0.030360	1.679544	0.016234	0.028032	1.671427	0.000000	0.029040	1.673050	0.003247	0.025864	1.671427	0.000000	0.032592	1.676297	0.009740	0.029800	1.677920	0.009740	0.028648	1.671427	0.000000	0.027592	1.673128	0.003401	0.026256	1.673128	0.003401	0.031584	1.677920	0.009740	0.028184	4.582138	0.051948	0.027560	1.673050	0.003247	0.028224	1.671427	0.000000	0.029688	1.674998	0.003571	0.027784	4.555778	0.013605	0.029064	1.671427	0.000000	1.840561	0.0263510.006202
15400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.023504	4.558924	0.008929	0.025680	1.680356	0.017857	0.031112	1.671427	0.000000	0.030008	1.674674	0.006493	0.025704	1.676784	0.010714	0.024120	1.674998	0.005357	0.024016	1.673213	0.003571	0.027184	1.674998	0.007143	0.032184	1.676297	0.008117	0.028760	1.674828	0.006803	0.028536	1.676297	0.009740	0.027424	1.671427	0.000000	0.025304	1.671427	0.000000	0.028008	1.674674	0.006493	0.023312	1.983457	0.315789	0.025736	1.674674	0.006493	0.025024	1.674828	0.006803	0.030712	1.673050	0.003247	0.023576	1.678570	0.003571	0.027112	1.674998	0.007143	0.031928	1.671427	0.000000	0.029904	1.673128	0.001701	0.025672	1.671427	0.000000	0.028496	1.681631	0.015306	0.030384	4.557788	0.012987	0.029216	1.676529	0.010204	0.026736	1.673128	0.003401	0.030856	1.673128	0.003401	0.029336	4.562658	0.001623	0.027888	1.674828	0.006803	1.850174	0.0258570.015303
16400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.027992	4.564281	0.000000	0.026248	1.678570	0.008929	0.028616	1.674828	0.006803	0.028832	1.673128	0.003401	0.029016	1.678230	0.011905	0.031736	1.676529	0.010204	0.027024	1.671427	0.000000	0.029640	1.685032	0.011905	0.028592	1.673128	0.003401	0.028216	1.678230	0.010204	0.026504	1.677066	0.011278	0.028984	1.673128	0.001701	0.027080	1.671427	0.000000	0.026072	1.678230	0.013605	0.027184	1.819641	0.287500	0.029024	1.671427	0.000000	0.027560	1.804544	0.266233	0.024560	1.673213	0.003571	0.023368	1.675186	0.007519	0.026048	1.674828	0.006803	0.023464	1.671427	0.000000	0.028160	1.679930	0.011905	0.031952	1.671427	0.000000	0.026760	1.675186	0.007519	0.031472	4.559411	0.009740	0.029040	1.676297	0.006493	0.029624	1.679930	0.011905	0.027728	1.674998	0.007143	0.025944	4.560880	0.005102	0.029360	1.673050	0.001623	1.849832	0.0261190.022700
17400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028248	4.559179	0.006803	0.029264	1.674828	0.006803	0.028272	1.674828	0.006803	0.031608	1.674828	0.006803	0.027896	1.678230	0.013605	0.024520	1.673128	0.003401	0.030784	1.674828	0.005102	0.024584	1.676784	0.010714	0.024800	1.673213	0.003571	0.028928	1.671427	0.000000	0.031304	1.673050	0.003247	0.023944	1.671427	0.000000	0.027152	1.671427	0.000000	0.031864	1.678570	0.010714	0.028264	1.945777	0.280844	0.025064	1.671427	0.000000	0.028328	1.673128	0.003401	0.030880	1.671427	0.000000	0.028296	1.674674	0.006493	0.029384	1.676529	0.008503	0.026624	1.671427	0.000000	0.027624	1.679930	0.006803	0.026416	1.673307	0.003759	0.032104	1.682791	0.014610	0.029816	4.559179	0.006803	0.028232	1.677920	0.009740	0.027232	1.673128	0.003401	0.029472	1.678230	0.008503	0.031568	4.558070	0.009317	0.026056	1.671427	0.000000	1.848879	0.0265170.013742
18400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029640	4.560880	0.006803	0.030840	1.673213	0.001786	0.032128	1.674674	0.006493	0.029352	1.674674	0.006493	0.025336	1.678230	0.006803	0.028856	1.676297	0.009740	0.029216	1.673128	0.001701	0.029952	1.683332	0.018707	0.028728	1.676529	0.010204	0.031040	1.671427	0.000000	0.027648	1.673128	0.003401	0.032104	1.671427	0.000000	0.028296	1.671427	0.000000	0.029312	1.674828	0.006803	0.026648	1.812583	0.280612	0.027008	1.673128	0.003401	0.026184	1.673128	0.001701	0.028720	1.674674	0.006493	0.028344	1.678230	0.013605	0.030968	1.676529	0.006803	0.028048	1.671427	0.000000	0.031488	1.678230	0.008503	0.029144	1.671427	0.000000	0.027656	1.676529	0.010204	0.027904	4.554077	0.017007	0.024248	1.676784	0.008929	0.030504	1.671427	0.000000	0.028648	1.676784	0.007143	0.030504	4.564281	0.000000	0.031616	1.674674	0.006493	1.844909	0.0271900.014057
19400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.028552	4.560880	0.006803	0.029168	1.673050	0.003247	0.026808	1.678230	0.010204	0.027328	1.671427	0.000000	0.025536	1.676529	0.010204	0.031048	1.673128	0.003401	0.031912	1.673128	0.003401	0.026272	1.676529	0.006803	0.027064	1.673213	0.003571	0.027888	1.674828	0.005102	0.028016	1.673050	0.003247	0.029880	1.671427	0.000000	0.026072	1.671427	0.000000	0.031232	1.676297	0.003247	0.028184	1.812583	0.282313	0.024352	1.671427	0.000000	0.030688	1.678230	0.008503	0.030256	1.672980	0.003106	0.030160	1.673128	0.003401	0.030800	1.674674	0.001623	0.028880	1.671427	0.000000	0.025152	1.681631	0.015306	0.026016	1.671427	0.000000	0.029664	1.674998	0.007143	0.030736	4.557138	0.010714	0.029632	1.680356	0.016071	0.027520	1.671427	0.000000	0.029672	1.677920	0.009740	0.030216	4.557788	0.004870	0.029784	1.673128	0.003401	1.844481	0.0268280.013294
20400	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029976	4.560880	0.006803	0.028240	1.677920	0.008117	0.027432	1.676529	0.006803	0.031560	1.673050	0.003247	0.025544	1.676529	0.010204	0.028536	1.677920	0.008117	0.031328	1.673128	0.003401	0.023288	1.674998	0.007143	0.025992	1.676297	0.006493	0.028504	1.674828	0.005102	0.032248	1.676529	0.010204	0.026672	1.671427	0.000000	0.028776	1.671427	0.000000	0.029032	1.674828	0.001701	0.026696	1.823212	0.300000	0.028832	1.671427	0.000000	0.029880	1.673213	0.003571	0.030760	1.671427	0.000000	0.027720	1.678570	0.007143	0.025120	1.678570	0.010714	0.026984	1.671427	0.000000	0.024496	1.680356	0.014286	0.029264	1.671427	0.000000	0.023912	1.683332	0.013605	0.028712	4.581288	0.056122	0.030352	1.685713	0.021428	0.025232	1.673213	0.003571	0.026400	1.673213	0.003571	0.026248	4.557138	0.012500	0.024552	1.674828	0.006803	1.846395	0.0260090.016583
